mode,mean_ee_position_error,max_ee_position_error,mean_ee_orientation_error,rms_torque,max_torque,torque_smoothness,min_joint_limit_margin,mean_manipulability,target_pos_jitter,target_velocity_rms,target_acceleration_rms,target_jerk_rms,workspace_clip_ratio,orientation_jump_mean,orientation_jump_max,gripper_jitter,dropout_count,diverged
full_pipeline,0.1021518803418625,0.1877406285084363,nan,66.11748185521735,124.15431029693436,2.688777350840472,0.5896921794457137,0.09083575866130499,0.023644447515015297,0.433379579435645,3.0087095453716723,130.377400896285,0.7333333333333333,1.30759600678074e-16,8.881784197001252e-16,0.006663063233463203,1,0.0
no_smoothing,0.10212353084292743,0.18780356985629532,nan,66.1212724686976,124.15431029693436,2.7008813050968885,0.5893027833093676,0.09086598930864434,0.023635416711685068,0.4336291666139006,3.077338185355052,135.03442345757523,0.7333333333333333,1.6283271027835628e-16,1.1102230246251565e-15,0.006663063233463203,1,0.0
no_workspace_clamp,0.11302680342465633,0.23216066082283457,nan,71.98956529676558,124.15431029693436,2.6184412578770893,0.599295903691548,0.09094365991798682,0.010368191577743633,0.4946427753850179,2.9261297595147155,107.78246689625051,0.0,1.30759600678074e-16,8.881784197001252e-16,0.006663063233463203,1,0.0
no_rate_limit,0.11662396035445394,0.20613361695084714,nan,75.76105375100518,137.23020672579776,3.9406889627404333,0.5821511872122223,0.09033519614311412,0.03906283625415426,0.566450535707843,3.3811367779759864,106.3801723782551,0.7333333333333333,1.30759600678074e-16,8.881784197001252e-16,0.006663063233463203,1,0.0
no_dropout_hold,0.10235283395409894,0.1877406285084363,nan,66.25867408386718,124.15431029693436,2.6834940667060443,0.5896921794457137,0.090821086259369,0.10353792364260009,0.9371982686788981,43.65327091825939,2395.281162277727,0.7333333333333333,1.30759600678074e-16,8.881784197001252e-16,0.0069179211739176655,1,1.0
no_orientation_mapping,0.09130338551695871,0.19160649463697424,nan,65.9168885093768,125.16298649954754,2.8896488201002306,0.5852092155925281,0.10180387098022253,0.023644447515015297,0.433379579435645,3.0087095453716723,130.377400896285,0.7333333333333333,0.0,0.0,0.006663063233463203,1,0.0
no_pinch_gripper,0.1021518803994898,0.18774062841702582,nan,66.11748190332969,124.15431029693436,2.6887774330644376,0.5896921762171412,0.09083575859425888,0.023644447515015297,0.433379579435645,3.0087095453716723,130.377400896285,0.7333333333333333,1.30759600678074e-16,8.881784197001252e-16,3.469446951953614e-18,1,0.0
