timestamp,frame_id,detected_hand,detection_confidence,wrist_x,wrist_y,wrist_z,pinch_ratio,target_pos_x,target_pos_y,target_pos_z,filtered_target_pos_x,filtered_target_pos_y,filtered_target_pos_z,target_quat_w,target_quat_x,target_quat_y,target_quat_z,gripper_width,workspace_clipped,actual_ee_pos_x,actual_ee_pos_y,actual_ee_pos_z,ee_position_error,ee_orientation_error,joint_q_1,joint_q_2,joint_q_3,joint_q_4,joint_q_5,joint_q_6,joint_q_7,joint_dq_1,joint_dq_2,joint_dq_3,joint_dq_4,joint_dq_5,joint_dq_6,joint_dq_7,torque_norm,max_abs_torque
0.512,0,0,,0.000000,0.000000,0.000000,1.0000,0.3350,0.0000,0.6396,0.3350,0.0000,0.6396,-0.000365,0.998724,-0.007292,0.049978,0.0400,,0.3350,-0.0000,0.6396,0.0000,0.000000,0.0000,-0.7000,-0.0000,-2.2000,0.0000,1.6000,0.8000,-0.0000,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,22.75,21.74
1.027,1,0,,0.000000,0.000000,0.000000,1.0000,0.3350,0.0000,0.6396,0.3350,0.0000,0.6396,-0.000365,0.998724,-0.007292,0.049978,0.0400,,0.3350,-0.0000,0.6396,0.0000,0.000000,0.0000,-0.7000,-0.0000,-2.2000,0.0000,1.6000,0.8000,0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0000,-0.0000,22.75,21.74
1.070,2,0,,0.000000,0.000000,0.000000,1.0000,0.3350,0.0000,0.6396,0.3350,0.0000,0.6396,-0.000365,0.998724,-0.007292,0.049978,0.0400,,0.3350,-0.0000,0.6396,0.0000,0.000000,0.0000,-0.7000,-0.0000,-2.2000,0.0000,1.6000,0.8000,0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0000,-0.0000,22.75,21.74
1.112,3,0,,0.000000,0.000000,0.000000,1.0000,0.3350,0.0000,0.6396,0.3350,0.0000,0.6396,-0.000365,0.998724,-0.007292,0.049978,0.0400,,0.3350,-0.0000,0.6396,0.0000,0.000000,0.0000,-0.7000,-0.0000,-2.2000,0.0000,1.6000,0.8000,0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0000,-0.0000,22.75,21.74
1.152,4,0,,0.000000,0.000000,0.000000,1.0000,0.3350,0.0000,0.6396,0.3350,0.0000,0.6396,-0.000365,0.998724,-0.007292,0.049978,0.0400,,0.3350,-0.0000,0.6396,0.0000,0.000000,0.0000,-0.7000,-0.0000,-2.2000,0.0000,1.6000,0.8000,0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0000,-0.0000,22.75,21.74
1.194,5,0,,0.000000,0.000000,0.000000,1.0000,0.3350,0.0000,0.6396,0.3350,0.0000,0.6396,-0.000365,0.998724,-0.007292,0.049978,0.0400,,0.3350,-0.0000,0.6396,0.0000,0.000000,0.0000,-0.7000,-0.0000,-2.2000,0.0000,1.6000,0.8000,0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0000,-0.0000,22.75,21.74
1.235,6,0,,0.000000,0.000000,0.000000,1.0000,0.3350,0.0000,0.6396,0.3350,0.0000,0.6396,-0.000365,0.998724,-0.007292,0.049978,0.0400,,0.3350,-0.0000,0.6396,0.0000,0.000000,0.0000,-0.7000,-0.0000,-2.2000,0.0000,1.6000,0.8000,0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0000,-0.0000,22.75,21.74
1.278,7,0,,0.000000,0.000000,0.000000,1.0000,0.3350,0.0000,0.6396,0.3350,0.0000,0.6396,-0.000365,0.998724,-0.007292,0.049978,0.0400,,0.3350,-0.0000,0.6396,0.0000,0.000000,0.0000,-0.7000,-0.0000,-2.2000,0.0000,1.6000,0.8000,0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0000,-0.0000,22.75,21.74
1.321,8,0,,0.000000,0.000000,0.000000,1.0000,0.3350,0.0000,0.6396,0.3350,0.0000,0.6396,-0.000365,0.998724,-0.007292,0.049978,0.0400,,0.3350,-0.0000,0.6396,0.0000,0.000000,0.0000,-0.7000,-0.0000,-2.2000,0.0000,1.6000,0.8000,0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0000,-0.0000,22.75,21.74
1.363,9,0,,0.000000,0.000000,0.000000,1.0000,0.3350,0.0000,0.6396,0.3350,0.0000,0.6396,-0.000365,0.998724,-0.007292,0.049978,0.0400,,0.3350,-0.0000,0.6396,0.0000,0.000000,0.0000,-0.7000,-0.0000,-2.2000,0.0000,1.6000,0.8000,0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0000,-0.0000,22.75,21.74
