t,mode,err_norm,tau_norm,tau_smoothness_step,q1,qd1,tau1,q2,qd2,tau2,q3,qd3,tau3,q4,qd4,tau4,q5,qd5,tau5,q6,qd6,tau6,q7,qd7,tau7
0.756,task_space_pd_gc,5.8250352932516e-14,22.025191335072712,0.03597201322657895,0.10359930879997462,-1.2700315683155147e-11,3.0643213082688523e-10,-0.7776994816,1.7767951816818255e-14,-3.579289573119217,0.07769948159995828,-2.0866547857336033e-11,-2.155734936162346,-2.251799654400003,-1.4552388647636695e-12,21.48320800899954,0.051799654399968524,-1.5740785286437123e-11,0.6261103410985835,1.5482003455999982,-8.392736934473557e-13,2.393804604726373,0.8414397235199984,-8.434305020512449e-13,-0.0023196011370317246
0.758,task_space_pd_gc,5.794827670564708e-14,22.01884148871084,0.035968992793807004,0.10479836159997473,-1.2626909571306307e-11,3.04682726597167e-10,-0.7785987712,2.0229056021752472e-14,-3.548988808040575,0.07859877119995848,-2.0756971549819063e-11,-2.1748177738877534,-2.2523991808000035,-1.4644132668894778e-12,21.47986668961122,0.052399180799968664,-1.5664535191354226e-11,0.625952727481209,1.5476008191999984,-8.422360472329431e-13,2.393267942626501,0.8419193446399984,-8.385272269716383e-13,-0.0023086888013397425
0.76,task_space_pd_gc,5.761667464284802e-14,22.012543129959184,0.03596124035405167,0.10599679999997494,-1.2547256318139008e-11,3.027892516694949e-10,-0.7794976,2.3109048180832655e-14,-3.5187035169331735,0.07949759999995874,-2.0637129210379594e-11,-2.1939089757036094,-2.252998400000003,-1.4719208148680756e-12,21.476516530398186,0.05299839999996885,-1.5580305111332472e-11,0.625793152993274,1.5470015999999982,-8.45089571799256e-13,2.392730528921755,0.8423987199999984,-8.332771462585517e-13,-0.002297765974202669
0.762,task_space_pd_gc,5.725394848715424e-14,22.006297042236948,0.035948750681417306,0.10719447039997511,-1.2461420834751148e-11,3.0074833391420835e-10,-0.7803958528,2.5451914748245746e-14,-3.488437662654395,0.080395852799959,-2.0507040637998186e-11,-2.2130059615397966,-2.2535972352000035,-1.4800409705424483e-12,21.47315794167843,0.05359723519996904,-1.5488021386921232e-11,0.6256316401850367,1.5464027647999983,-8.453725143231744e-13,2.392192432069775,0.8428777881599984,-8.282481376269622e-13,-0.002286834134709457
0.764,task_space_pd_gc,5.686785601424829e-14,22.000103983088476,0.03593151869988084,0.10839121919997527,-1.236936684693221e-11,2.98558712600211e-10,-0.7812934143999999,2.84556715659187e-14,-3.458195207782582,0.08129341439995927,-2.0366675235926616e-11,-2.2321061424353594,-2.2541956096000035,-1.4855200640837731e-12,21.469791339327067,0.05419560959996923,-1.538778440222084e-11,0.6254682126698741,1.5458043903999983,-8.46630588299168e-13,2.3916537210633884,0.8433564876799984,-8.222097187440664e-13,-0.002275894770080787
0.766,task_space_pd_gc,5.644221189909816e-14,21.993964684155557,0.03590953948454402,0.1095868927999755,-1.2271192191476834e-11,2.9622607559724923e-10,-0.7821901695999999,3.117418320710047e-14,-3.4279801145129003,0.08219016959995959,-2.0216080439860116e-11,-2.251206920685512,-2.2547934464000035,-1.4905024814359676e-12,21.466417144814745,0.054793446399969456,-1.527952032226368e-11,0.6253028951241452,1.5452065535999981,-8.48043170997155e-13,2.391114465432562,0.8438347571199983,-8.166469908638413e-13,-0.002264949375594964
0.768,task_space_pd_gc,5.599914072193899e-14,21.987879851160486,0.035882808263065974,0.1107813375999757,-1.2166863453145988e-11,2.937440405300051e-10,-0.7830860031999999,3.3719052975667895e-14,-3.39779634455347,0.0830860031999599,-2.0055299073215407e-11,-2.270305689991199,-2.255390668800003,-1.4946592193358821e-12,21.463035785244006,0.055390668799969685,-1.5163273983377556e-11,0.6251357132866704,1.5446093311999982,-8.475994977982862e-13,2.3905747352461595,0.8443125350399984,-8.103156955229354e-13,-0.0022539994544830554
0.77,task_space_pd_gc,5.5531659247082376e-14,21.981850163899818,0.03585132041689929,0.11197439999997587,-1.2056409853973264e-11,2.9112050216615294e-10,-0.7839807999999998,3.627500967435857e-14,-3.3676478590218744,0.0839807999999602,-1.988439295671586e-11,-2.2893998356109764,-2.2559872000000034,-1.4984510260269257e-12,21.459647693383467,0.055987199999969914,-1.503899136408567e-11,0.624966693957825,1.5440127999999982,-8.464367748477376e-13,2.390034601113474,0.8447897599999985,-8.029128324011819e-13,-0.002243046517871109
0.772,task_space_pd_gc,5.502794209020709e-14,21.97587627624942,0.03581507148203444,0.11316592639997612,-1.1939965471023342e-11,2.883586531007887e-10,-0.7848744447999999,3.891812323770684e-14,-3.337538618342571,0.08487444479996059,-1.9703405109080277e-11,-2.308486734515193,-2.256582963200003,-1.5002512691094343e-12,21.456253307700287,0.056582963199970186,-1.4906784396002222e-11,0.6247958649982706,1.5434170367999982,-8.461233356667143e-13,2.3894941341856963,0.8452663705599984,-7.95929972611624e-13,-0.002232092084672009
0.774,task_space_pd_gc,5.448707398583025e-14,21.969958816180178,0.035774057150224046,0.1143557631999764,-1.18174738774361e-11,2.854505947236002e-10,-0.7857668223999998,4.109958494590954e-14,-3.3074725821445963,0.08576682239996099,-1.9512369782889123e-11,-2.327563755542267,-2.257177881600003,-1.5021140987483835e-12,21.452853072390237,0.05717788159997048,-1.476658291225406e-11,0.624623255327287,1.5428221183999982,-8.44147200148271e-13,2.3889534061570363,0.8457423052799985,-7.881341706968282e-13,-0.002221137681488581
0.776,task_space_pd_gc,5.39287767411833e-14,21.964098385784776,0.03572827326955721,0.11554375679997662,-1.1689009481769353e-11,2.824049531072334e-10,-0.7866578175999999,4.3681843473787234e-14,-3.277453709160265,0.08665781759996137,-1.9311308657498257e-11,-2.3466282595569856,-2.2577718784000034,-1.502054618532035e-12,21.449447437405663,0.05777187839997077,-1.4618481321134454e-11,0.624448894920737,1.5422281215999982,-8.421034941168786e-13,2.388412489265712,0.8462175027199985,-7.801185741357344e-13,-0.002210184842547492
0.778,task_space_pd_gc,5.334478349738965e-14,21.95829556131567,0.03567771584511417,0.11672975359997692,-1.1554481151066658e-11,2.7921852662145954e-10,-0.7875473151999999,4.64631580511169e-14,-3.2474859571247086,0.08754731519996181,-1.910036373940188e-11,-2.3656775996107293,-2.2583648768000035,-1.5007949901115921e-12,21.446036858481378,0.058364876799971085,-1.4462442373467434e-11,0.6242728148086303,1.5416351231999983,-8.394007824646314e-13,2.387871456294783,0.8466919014399985,-7.715662327063245e-13,-0.0021992351095756328
0.78,task_space_pd_gc,5.2725904348952854e-14,21.952550893234093,0.03562238103953786,0.11791359999997718,-1.1414209149534964e-11,2.7589428050728154e-10,-0.7884351999999999,4.9179877773248416e-14,-3.2175732826762493,0.08843519999996223,-1.8879524899697615e-11,-2.384709121103409,-2.2589568000000035,-1.497998409416432e-12,21.442621797158303,0.05895679999997141,-1.4298533119730658e-11,0.6240950470723248,1.5410431999999983,-8.356836238034006e-13,2.387330380572701,0.8471654399999985,-7.621714879937071e-13,-0.0021882900317194164
0.782,task_space_pd_gc,5.208025914557868e-14,21.94686490626995,0.035562265173352814,0.11909514239997748,-1.1267984271286601e-11,2.7243692786152575e-10,-0.7893213567999998,5.131048178881848e-14,-3.187719641257941,0.0893213567999627,-1.864898114731614e-11,-2.403720161947097,-2.2595475712000033,-1.495564055472233e-12,21.439202720804566,0.059547571199971755,-1.4126715157976597e-11,0.6239156248413189,1.5404524287999986,-8.301315764895912e-13,2.386789335973707,0.8476380569599985,-7.534329814055394e-13,-0.0021773511654403516
0.784,task_space_pd_gc,5.1401259691923476e-14,21.941238099493283,0.0354973647252295,0.1202742271999778,-1.1116065376408749e-11,2.6883857562777594e-10,-0.7902056703999999,5.4063005758990574e-14,-3.1579289870202123,0.0902056703999632,-1.840862107487626e-11,-2.422708052731258,-2.2601371136000035,-1.4901560205101003e-12,21.435780102634716,0.06013711359997212,-1.3947177730827783e-11,0.6237345822896743,1.5398628863999984,-8.262214222131699e-13,2.3862483969179995,0.8481096908799985,-7.432337445619617e-13,-0.0021664200743984753
0.786,task_space_pd_gc,5.0702035762246165e-14,21.935670946396602,0.03542767633200998,0.12145070079997809,-1.0958265805315282e-11,2.6511201354527195e-10,-0.7910880255999998,5.6567559374768666e-14,-3.1282052727247933,0.09108802559996368,-1.8158706416892716e-11,-2.441670116889268,-2.2607253504000036,-1.4849860916144712e-12,21.432354421726302,0.06072535039997248,-1.3759765690682513e-11,0.6235519546320517,1.5392746495999985,-8.211657137855723e-13,2.3857076383717213,0.8485802803199985,-7.330895696643462e-13,-0.002155498329381741
0.788,task_space_pd_gc,4.998539711081293e-14,21.930163894988233,0.035353196788933144,0.12262440959997845,-1.0794910640294776e-11,2.612506763821876e-10,-0.7919683071999999,5.89029037076543e-14,-3.0985524496497736,0.09196830719996421,-1.789920972284726e-11,-2.4606036708663477,-2.2613122048000034,-1.4784727584723944e-12,21.42892616303388,0.06131220479997289,-1.3564658672349551e-11,0.6233677781193439,1.5386877951999984,-8.148232453906982e-13,2.3851671358466713,0.8490497638399986,-7.226882383857761e-13,-0.0021445875081575975
0.79,task_space_pd_gc,4.92256543362648e-14,21.924717367897344,0.03527392304917981,0.1237951999999788,-1.0625801235850133e-11,2.572586481933852e-10,-0.7928463999999998,6.16215382662232e-14,-3.0689744674963837,0.09284639999996476,-1.7630276322237438e-11,-2.4795060242886775,-2.2618976000000033,-1.4698013288897139e-12,21.425495817401053,0.0618975999999733,-1.3361835652170174e-11,0.6231820900339397,1.5381023999999985,-8.08521830296966e-13,2.3846269653998524,0.8495180799999986,-7.117336144216201e-13,-0.00213368919539598
0.792,task_space_pd_gc,4.845227891090111e-14,21.919331762489634,0.03518985222383607,0.12496291839997913,-1.0451289017183255e-11,2.5313702285583055e-10,-0.7937221887999999,6.412885502793585e-14,-3.039475274297022,0.0937221887999653,-1.7351916086089295e-11,-2.498374480133523,-2.2624814592000035,-1.4599142651471208e-12,21.422063881569585,0.06248145919997371,-1.3151373274320771e-11,0.6229949286845856,1.5375185407999985,-7.999744326708708e-13,2.3840872036327982,0.8499851673599986,-7.008282665405657e-13,-0.002122804982545477
