t,mode,err_norm,tau_norm,q1,q2,q3,q4,q5,q6,q7,qd1,qd2,qd3,qd4,qd5,qd6,qd7,tau1,tau2,tau3,tau4,tau5,tau6,tau7
0.02,pd_gc,0.36950168335136574,54.23788249616863,0.0006895662517005186,-0.6740636594453625,0.0006237344930578615,-2.158096613146025,9.758952345290838e-05,1.560510933417477,0.7812004833448459,0.032068355495019664,1.9795796782434336,0.031815511610923435,3.177899538068097,0.0075755729276719835,-2.7229680971174637,-1.3408428716191865,15.49227291475497,-46.30727824901676,9.488963073117473,-16.16557957793488,3.5850077193832846,12.0,7.0110409447894115
0.022,pd_gc,0.3739738514458627,57.038992978055475,0.0007523838646844221,-0.6698495230674651,0.0006857128295805508,-2.1513348643140335,0.00011325865108527447,1.5548276861967523,0.778397246602789,0.031408806491951755,2.1070681889486718,0.03098916826134466,3.3808744159958124,0.007834563816183046,-2.8416236103623196,-1.4016183710284538,15.495877722933683,-48.606798613801246,9.495172944184993,-18.705069416819853,3.5826340623360338,12.0,7.336921978001159
0.024,pd_gc,0.3789454584185863,59.81277527493505,0.000813844738889659,-0.6653942290989652,0.000745947999580249,-2.1441876254013357,0.0001293928623221155,1.5489245167174444,0.7754857390797718,0.03073043710261843,2.227646984249967,0.03011758499984912,3.5736194563488777,0.008067105618420514,-2.9515847396539163,-1.4557537615086076,15.500085999937923,-50.83283913325111,9.50270102452798,-21.16378048344325,3.580441908863268,12.0,7.636189518453687
0.026000000000000002,pd_gc,0.384423187398481,62.54830947819588,0.0008739338348286751,-0.6607110864115207,0.0008043982434891874,-2.13667456979728,0.0001459477639623189,1.5428180986353004,0.7724781002651364,0.03004454796950806,2.341571343722251,0.029225121954469177,3.7565278020277515,0.008277450820101699,-3.0532090410720274,-1.5038194073176796,15.504666301452172,-52.98768614928711,9.511117327371169,-23.544645306485826,3.5783853771610064,12.0,7.911064446375377
0.028,pd_gc,0.3904104971926446,65.23761665357412,0.0009326512504080422,-0.6558129134595554,0.0008610546153021209,-2.12881463373631,0.00016288446456602583,1.536524424649152,0.7693854235949474,0.02935870778968359,2.4490864759826043,0.02832818590646673,3.929968030485106,0.008468350301853465,-3.1468369930741567,-1.5463383350945155,15.509461621640595,-55.07352760922961,9.520125917315506,-25.850376045022855,3.5764399684557424,12.0,8.163585090043009
0.03,pd_gc,0.39690760001307096,67.87490500310369,0.0009900071702211445,-0.6507120572266204,0.0009159300773139757,-2.1206260610766288,0.00018016802840186823,1.530058837808178,0.7662178436117189,0.028677959906551143,2.550428116467508,0.027437731005927404,4.094286329840611,0.008641781917921193,-3.232793420486938,-1.58378999161429,15.514365990911788,-57.092460590265226,9.529523657943082,-28.08348532436174,3.5745899986751395,12.0,8.395621362343292
0.032,pd_gc,0.40391153269182273,70.45601876357665,0.001046018387539822,-0.6454204111358467,0.0009690519878592307,-2.112126444169067,0.00019776642369422732,1.5234360602489079,0.7629846160993605,0.028005608659338793,2.645823045386859,0.026560955272627525,4.2498084537809815,0.008799197646179542,-3.3113887796351027,-1.6166137561791747,15.519307987690592,-59.04649760471777,9.539171140586337,-30.246305020109318,3.572824283943788,12.0,8.608888048401083
0.034,pd_gc,0.41141630689532593,72.97803327355977,0.0011007059628472234,-0.6399494320443431,0.0010204569844315299,-2.103332761207647,0.00021564988036119518,1.5166702196033848,0.7596941917002449,0.027343787653700765,2.7354895457518156,0.0257024982861496,4.39684148070985,0.00894172833348393,-3.3829203227615054,-1.645212199557849,15.524240007766071,-60.93757191955109,9.548972965657663,-32.34100309591227,3.571134699538477,12.0,8.804957252405929
0.036000000000000004,pd_gc,0.4194131225158422,75.43895511679054,0.00115409362991245,-0.6343101564179336,0.0010701874921610953,-2.094261410399848,0.00023379043277125134,1.5097748732980218,0.7563542834943063,0.026693833532613356,2.8196378132046926,0.024865253864782753,4.535675403899627,0.009070276205028076,-3.4476731526815154,-1.66995410296928,15.529130495820413,-62.76754215494205,9.558863801748094,-34.36959872268868,3.5695149776352535,12.0,8.98526996088126
0.038,pd_gc,0.4278906279015533,77.83749872000563,0.00120620671529784,-0.6285132157605521,0.0011182893472091837,-2.084928241252568,0.000252161596934336,1.5027630309394384,0.7529719290036199,0.026056542692695,2.8984703286907725,0.024050927524044165,4.66658457363997,0.00918558208154232,-3.5059211792917475,-1.6911772453432532,15.533958840150419,-64.5381963145482,9.568798923662623,-36.333975923754245,3.567960171530701,12.0,9.15114676688979
0.04,pd_gc,0.43683521110570134,80.17291867004815,0.0012570714095556641,-0.6225688513567396,0.0011648101848759321,-2.075348583232899,0.0002707381418929302,1.4956471749640627,0.749553547060347,0.025432347128912045,2.97218220190627,0.023260418833374267,4.789829009834598,0.009288272479297099,-3.5579279876877927,-1.7091909716363873,15.538711865078444,-66.25125539258629,9.578747716724308,-38.2358959355478,3.5664662665570397,12.0,9.303797778829352
0.042,pd_gc,0.44623130763818464,82.44488301126412,0.0013067142789303225,-0.616486928373605,0.0012097983520995242,-2.0655372720320706,0.00028949592662140495,1.4884392797117922,0.7461049899483929,0.024821434687329114,3.0409614915673067,0.02249408361179606,4.905655600414146,0.009378892364237374,-3.6039476261352528,-1.7242785559770724,15.543381427430779,-67.90837666090825,9.588689216639496,-40.07700845076769,3.5650299081165158,12.0,9.444331756173698
0.044,pd_gc,0.45606171207203705,84.65337691684516,0.0013551619412914295,-0.6102769493593997,0.0012533021794437832,-2.0555086736350283,0.0003084117825092244,1.4811508290697706,0.7426315912010139,0.024223831180553525,3.1049895071026423,0.02175191367212951,5.014299198521142,0.009457927943909714,-3.64422532101082,-1.7366993736895588,15.547962772062968,-69.5111567140248,9.598609046680362,-41.858861882011155,3.5636482132598344,12.0,9.57376451904423
0.046,pd_gc,0.466307883058517,86.79862905102318,0.001402440854011581,-0.6039480671688741,0.0012953694994210156,-2.045276706376073,0.0003274634276553764,1.4737928328198697,0.7391382094089016,0.023639456360075813,3.164441095262814,0.021033659988616265,5.115983629477643,0.009525822573076008,-3.678998124950433,-1.7466908960560938,15.552453408168937,-71.06113433079604,9.60849731408211,-43.58291276168502,3.5623186402390803,12.0,9.69302668016838
0.048,pd_gc,0.476950233620229,88.8810550149838,0.0014485771779578196,-0.5975090973403181,0.0013360473334911413,-2.034854861142174,0.0003466294034410386,1.466375841812397,0.7356292683665183,0.02306816197311931,3.219484914277976,0.020338917035062902,5.210922616949445,0.00958298789283111,-3.708495503736335,-1.7544705211916356,15.556852342638013,-72.55979319672802,9.61834716501964,-45.25053437602443,3.561038898086122,12.0,9.802970747569656
0.05,pd_gc,0.4879684008410979,90.90121375211005,0.0014935966930480868,-0.5909685299452659,0.0013753816944183381,-2.024256219869386,0.0003658890267645298,1.4589099620786428,0.7321087938590208,0.022509757545133593,3.2702836975260836,0.019667180463598367,5.299320636393978,0.009629811661745622,-3.7329398668771203,-1.7602372537487587,15.561159558139705,-74.0085645193754,9.62815379194206,-46.86302471639408,3.559806883847254,12.0,9.904377644932172
0.052000000000000005,pd_gc,0.4993414911222359,92.85977385437516,0.0015375247485596682,-0.5843345409289703,0.00141341746735889,-2.013493472463857,0.00038522235333445117,1.4514048679859384,0.7285804473681765,0.021964027755790656,3.316994508147813,0.01901788647027599,5.381373702764573,0.00966666328496067,-3.752547046352175,-1.7641732454221508,15.565375658924284,-75.40882956044355,9.637913751830157,-48.42161381889886,3.5586206389644266,12.0,9.997962694463506
0.054,pd_gc,0.5110482989402111,94.75748748398014,0.001580386236681842,-0.5776150029577064,0.0014501983445050258,-2.002578932266859,0.0004046101488086163,1.443869814530775,0.7250475569533038,0.021430744061086884,3.359768985631934,0.018390438573067925,5.457270098499021,0.009693897737082586,-3.767526727581696,-1.7664452074363655,15.569501631534157,-76.76192210121702,9.647624498363285,-49.92747055315105,3.5574783189342125,12.0,10.084381104565837
0.056,pd_gc,0.5230674984896028,96.59517018792596,0.0016222055814443085,-0.5708174957875659,0.0014857667959688973,-1.9915245501728327,0.00042403386553173546,1.4363136488581156,0.7215131455424797,0.020909672381233313,3.398753585070247,0.017784225731935683,5.527191047013123,0.009711858361559555,-3.7780828363296326,-1.7672057054120642,15.573538684210238,-78.0691308524707,9.65728406142636,-51.38170891242725,3.556378172184476,12.0,10.164233001929727
0.058,pd_gc,0.535377808711112,98.37368529764085,0.0016630067376502014,-0.5639493161685136,0.001520164064988595,-1.9803419275003813,0.00044347562329608963,1.4287448210882396,0.7179799568500062,0.020400578102946463,3.434089809526154,0.017198634509848914,5.591311336225747,0.009720878882177078,-3.784413884937948,-1.7665943462367888,15.57748814014719,-79.33170181572221,9.666890828249883,-52.78539385009472,3.555318525351854,12.0,10.238068044927097
0.06,pd_gc,0.5479581330212332,100.09393191282787,0.0017028131961562539,-0.5570174872969909,0.0015534301792481911,-1.9690423277082971,0.00046291819301722204,1.421171394526203,0.714450479118347,0.019903229253026258,3.4659144357613956,0.01663305712979802,5.649799896042042,0.009721284860566193,-3.786713281018369,-1.7647388658295786,15.581351367546732,-80.55084059930715,9.676443394774042,-54.139546700868664,3.55429777300073,12.0,10.306389652488221
