t,pos_err_norm,rot_err_norm,tau_norm,target_x,target_y,target_z,actual_x,actual_y,actual_z
0.0,0.0,0.0,22.74721268125129,0.33497148912790786,0.0,0.6396144071944123,0.33497148912790786,0.0,0.6396144071944123
0.002,0.00012566363734379965,3.462775267218417e-12,22.753234826477833,0.335072019986988,-1.2633086983460107e-07,0.6396898053387224,0.3349714891279293,1.5911857837177379e-12,0.6396144071943984
0.004,0.00025131962293998807,2.8497692914949937e-08,22.759134111518414,0.3351725502110606,-5.053226813725442e-07,0.6397652030067769,0.3349714927745437,1.396518562482138e-11,0.6396144143973569
0.006,0.00037696436618222997,9.782803506080331e-08,22.76497364478764,0.33527307916512217,-1.1369730406815548e-06,0.639840599722323,0.334971501180418,1.2847144800166825e-11,0.6396144326164565
0.008,0.0005025959688213578,2.1429064369358986e-07,22.770779461821974,0.3353736062141771,-2.0212779579253937e-06,0.6399159950091142,0.33497151456823077,-5.5283942343961554e-11,0.6396144640309469
0.01,0.0006282132781681579,3.815292060676313e-07,22.776563914161184,0.33547413072324195,-3.158231847356918e-06,0.6399913883909129,0.3349715328635526,-2.587611287619333e-10,0.6396145099735042
0.012,0.0007538154874909567,6.018349777453773e-07,22.782333596004214,0.3355746520573493,-4.547827527345838e-06,0.6400667793914935,0.33497155591349237,-6.718617441481023e-10,0.6396145713046336
0.014,0.000879401959815291,8.767265689946663e-07,22.78809237353456,0.33567516958155186,-6.190056220461981e-06,0.6401421675346453,0.3349715835646624,-1.3707621021727416e-09,0.6396146486023434
0.016,0.00100497214689702,1.2072423978734007e-06,22.793842678281194,0.33577568266092617,-8.084907553482235e-06,0.640217552344176,0.3349716156872346,-2.4320251056913856e-09,0.6396147422650909
0.018000000000000002,0.0011305255501539468,1.594104467324129e-06,22.799586116851163,0.33587619066057706,-1.0232369557508503e-05,0.6402929333439142,0.3349716521788173,-3.93218072124923e-09,0.6396148525717082
0.02,0.00125606170072931,2.0378179939892012e-06,22.805323785627753,0.33597669294564136,-1.2632428668002404e-05,0.6403683100577124,0.3349716929614706,-5.947696151705381e-09,0.6396149797185955
0.022,0.001381580148630962,2.5387358880831427e-06,22.81105644731194,0.336077188881292,-1.5285069724882416e-05,0.6404436820094505,0.33497173797702945,-8.555046979397573e-09,0.6396151238440477
0.024,0.0015070804563981843,3.0971023489558466e-06,22.816784637518708,0.3361776778327421,-1.8190275972621017e-05,0.640519048723038,0.3349717871826059,-1.1830785846971957e-08,0.6396152850448001
0.026000000000000002,0.0016325621951699457,3.7130832207855106e-06,22.82250873312665,0.33627815916524884,-2.134802906036959e-05,0.640594409722418,0.334971840546834,-1.585158212894817e-08,0.639615463387584
0.028,0.0017580249421131977,4.386787533211727e-06,22.828228998126235,0.33637863224411735,-2.4758309042034743e-05,0.6406697645315694,0.3349718980469206,-2.0694235237785437e-08,0.6396156589173433
0.03,0.001883468278673492,5.1182829696159845e-06,22.833945615358243,0.33647909643470525,-2.8421094376430978e-05,0.6407451126745104,0.3349719596664025,-2.643566773181084e-08,0.6396158716631422
0.032,0.0020088917893554435,5.907607048927955e-06,22.839658708946956,0.336579551102426,-3.2336361927426394e-05,0.6408204536753009,0.3349720253934669,-3.3152911095792565e-08,0.6396161016424374
0.034,0.0021342950608568855,6.754775256107974e-06,22.845368360366248,0.33667999561275336,-3.650408696405372e-05,0.6408957870580464,0.33497209521970683,-4.092308368280267e-08,0.6396163488641857
0.036000000000000004,0.0022596776814453943,7.659786959740761e-06,22.851074620041008,0.33678042933122515,-4.092424316069765e-05,0.6409711123469003,0.33497216913920486,-4.982336921607395e-08,0.6396166133311074
0.038,0.002385039240511572,8.62262973050279e-06,22.85677751576625,0.33688085162344755,-4.55968025972614e-05,0.641046429066067,0.3349722471478574,-5.993099642193962e-08,0.6396168950413366
0.04,0.0025103793282408287,9.643282494735448e-06,22.862477058835726,0.33698126185509863,-5.0521735759298525e-05,0.6411217367398054,0.33497232924288334,-7.132322115930971e-08,0.639617193989628
0.042,0.002635697535379587,1.072171783948075e-05,22.868173248510367,0.3370816593919329,-5.569901153827661e-05,0.6411970348924311,0.334972415422459,-8.407731121814248e-08,0.6396175101682388
0.044,0.0027609934530628357,1.185790369572646e-05,22.87386607528131,0.33718204359978493,-6.112859723168829e-05,0.6412723230483202,0.33497250568545567,-9.827053265081635e-08,0.6396178435675709
0.046,0.0028862666726905536,1.3051804569301e-05,22.879555523252794,0.3372824138445735,-6.681045854333573e-05,0.6413476007319115,0.334972600031244,-1.139801403683354e-07,0.6396181941766432
0.048,0.003011516785836667,1.430338244292568e-05,22.885241571883824,0.3373827694923056,-7.274455958349024e-05,0.6414228674677106,0.33497269845955313,-1.3128336963610288e-07,0.6396185619834367
0.05,0.003136743384185677,1.5612597433678465e-05,22.890924197261295,0.33748310990908037,-7.893086286913514e-05,0.6414981227802917,0.3349728009703661,-1.5025742839611465e-07,0.6396189469751447
0.052000000000000005,0.0032619460594848944,1.697940827188577e-05,22.89660337303094,0.3375834344610933,-8.536932932422941e-05,0.6415733661943014,0.3349729075638457,-1.7097949284935477e-07,0.6396193491383569
