t,mode,err_norm,tau_norm,tau_smoothness_step,q1,qd1,tau1,q2,qd2,tau2,q3,qd3,tau3,q4,qd4,tau4,q5,qd5,tau5,q6,qd6,tau6,q7,qd7,tau7
0.038,task_space_pd_gc,8.223392028529529e-14,22.747212681199393,2.3919971066253673e-10,-3.6631797995247595e-14,-1.8315898997623797e-11,6.174050557754624e-10,-0.6999999999999992,4.008217032773247e-13,-6.1881917574855825,-6.787472431217988e-14,-3.3937362156089935e-11,-0.5866908419548905,-2.2,-1.1074415530741294e-13,21.736176148069035,-2.8338773574793757e-14,-1.4169386787396879e-11,0.6322073204935249,1.5999999999999996,-2.142527565357567e-13,2.436536792301064,0.7999999999999969,-1.5578640734768942e-12,-0.0031962579060973574
0.04,task_space_pd_gc,6.554253219607313e-14,22.747212681201102,1.9467077466674426e-10,-2.917108253901797e-14,-1.4585541269508985e-11,4.936066494834643e-10,-0.6999999999999993,3.5108441021906963e-13,-6.1881917574845815,-5.4193903117781513e-14,-2.7096951558890755e-11,-0.5866908420888984,-2.2,-1.0235842076523333e-13,21.73617614806801,-2.238940876741435e-14,-1.1194704383707176e-11,0.6322073204787256,1.5999999999999996,-1.7055262771619218e-13,2.4365367923003407,0.7999999999999976,-1.2458367519766414e-12,-0.0031962578398330916
0.042,task_space_pd_gc,5.212848679656474e-14,22.74721268120228,1.574947962333889e-10,-2.31830870462989e-14,-1.159154352314945e-11,3.9356705918782936e-10,-0.6999999999999994,3.0255783823594183e-13,-6.188191757483594,-4.316400690749497e-14,-2.1582003453747486e-11,-0.5866908421974781,-2.2,-9.359594264191317e-14,21.736176148067017,-1.767600230433113e-14,-8.838001152165565e-12,0.632207320467217,1.5999999999999999,-1.3497446840813e-13,2.436536792299665,0.799999999999998,-9.93068691854638e-13,-0.0031962577862395458
0.044,task_space_pd_gc,4.1384431382609195e-14,22.747212681203088,1.2679132788644798e-10,-1.839331330192978e-14,-9.196656650964889e-12,3.1310725004026283e-10,-0.6999999999999994,2.576541805236466e-13,-6.188191757482675,-3.4308654678068575e-14,-1.715432733903429e-11,-0.5866908422849969,-2.2,-8.335641729113066e-14,21.736176148066097,-1.3946327893035783e-14,-6.9731639465178915e-12,0.6322073204582527,1.5999999999999999,-1.0770629076120892e-13,2.436536792299053,0.7999999999999985,-7.8967080225214e-13,-0.0031962577431083458
0.046,task_space_pd_gc,3.280509010623964e-14,22.74721268120362,1.0167659640515953e-10,-1.457263945600386e-14,-7.28631972800193e-12,2.4863583133145516e-10,-0.6999999999999995,2.169490498426045e-13,-6.188191757481836,-2.7223548399893603e-14,-1.36117741999468e-11,-0.5866908423552485,-2.2,-7.337386938570122e-14,21.736176148065265,-1.0997843856895625e-14,-5.4989219284478124e-12,0.6322073204512614,1.5999999999999999,-8.568538591877601e-14,2.4365367922985115,0.7999999999999988,-6.269877431344834e-13,-0.003196257708529216
0.048,task_space_pd_gc,2.597294417003277e-14,22.747212681203948,8.127798892028181e-11,-1.1531990675245888e-14,-5.765995337622943e-12,1.9713288087896212e-10,-0.6999999999999996,1.809995733232106e-13,-6.188191757481085,-2.157079589860079e-14,-1.0785397949300394e-11,-0.5866908424114501,-2.2,-6.40440150925437e-14,21.73617614806452,-8.668860638633263e-15,-4.334430319316631e-12,0.6322073204458025,1.5999999999999999,-6.695938343131983e-14,2.4365367922980328,0.799999999999999,-4.969327905944608e-13,-0.003196257680892495
0.05,task_space_pd_gc,2.0540609072547417e-14,22.74721268120413,6.4796198768491e-11,-9.116731300333467e-15,-4.5583656501667334e-12,1.5609648228440223e-10,-0.6999999999999996,1.503792931706679e-13,-6.188191757480422,-1.7071324234968817e-14,-8.535662117484408e-12,-0.5866908424562839,-2.2,-5.423842731817276e-14,21.736176148063862,-6.830579414511418e-15,-3.415289707255709e-12,0.6322073204415357,1.6,-5.4175158604714425e-14,2.436536792297616,0.7999999999999993,-3.939016396638766e-13,-0.003196257658864302
0.052000000000000005,task_space_pd_gc,1.6231587827902296e-14,22.74721268120423,5.1549475096567746e-11,-7.201315319596084e-15,-3.600657659798042e-12,1.2346446875321342e-10,-0.6999999999999997,1.2387571390732838e-13,-6.18819175747986,-1.3496837300573297e-14,-6.748418650286649e-12,-0.5866908424919703,-2.2,-4.6162219026365095e-14,21.7361761480633,-5.380320241281823e-15,-2.6901601206409116e-12,0.6322073204381983,1.6,-4.221456075418907e-14,2.4365367922972663,0.7999999999999994,-3.119885730843667e-13,-0.003196257641340463
0.054,task_space_pd_gc,1.2813346140743965e-14,22.74721268120425,4.093138374856276e-11,-5.684313965920563e-15,-2.8421569829602817e-12,9.756421305683136e-11,-0.6999999999999997,1.015009694615349e-13,-6.188191757479369,-1.0661751839126007e-14,-5.330875919563003e-12,-0.5866908425203182,-2.2,-3.881337088475472e-14,21.736176148062814,-4.2368552898783735e-15,-2.1184276449391868e-12,0.6322073204355851,1.6,-3.281016220837137e-14,2.436536792296961,0.7999999999999996,-2.46668177910456e-13,-0.0031962576274281312
0.056,task_space_pd_gc,1.0113141456268016e-14,22.747212681204246,3.2447833036342146e-11,-4.484187112204708e-15,-2.242093556102354e-12,7.703897629529976e-11,-0.6999999999999998,8.306774729721626e-14,-6.1881917574789576,-8.416162352014948e-15,-4.208081176007474e-12,-0.5866908425427994,-2.2,-3.2302673074002874e-14,21.73617614806241,-3.3356208033589254e-15,-1.6678104016794626e-12,0.6322073204335382,1.6,-2.708084670534221e-14,2.4365367922967063,0.7999999999999996,-1.9447604261924446e-13,-0.003196257616401463
0.058,task_space_pd_gc,7.975028673017063e-15,22.747212681204232,2.5687587748338558e-11,-3.535664520472575e-15,-1.7678322602362874e-12,6.079430316146338e-11,-0.6999999999999998,6.74248008093589e-14,-6.188191757478622,-6.6395414052240865e-15,-3.319770702612043e-12,-0.5866908425606027,-2.2,-2.7531928077274798e-14,21.73617614806208,-2.6255264512074397e-15,-1.3127632256037199e-12,0.6322073204319338,1.6,-2.0842710404706988e-14,2.436536792296504,0.7999999999999997,-1.534801093232764e-13,-0.003196257607674035
0.06,task_space_pd_gc,6.285255860651754e-15,22.747212681204193,2.0320284706803797e-11,-2.7865868610650142e-15,-1.393293430532507e-12,4.794709372953725e-11,-0.6999999999999998,5.476110372736527e-14,-6.188191757478337,-5.2352506916026505e-15,-2.617625345801325e-12,-0.586690842574689,-2.2,-2.218357694596406e-14,21.736176148061798,-2.0663725069431786e-15,-1.0331862534715892e-12,0.6322073204306757,1.6,-1.6981520793045804e-14,2.4365367922963284,0.7999999999999998,-1.2100677261121668e-13,-0.0031962576007699877
0.062,task_space_pd_gc,4.9548797393292834e-15,22.74721268120415,1.605719243158864e-11,-2.1954122994156145e-15,-1.0977061497078073e-12,3.779737404854766e-11,-0.6999999999999998,4.445282303431469e-14,-6.188191757478101,-4.126189975019723e-15,-2.0630949875098614e-12,-0.5866908425858225,-2.2,-1.7723854221311484e-14,21.736176148061563,-1.6260149441554387e-15,-8.130074720777194e-13,0.6322073204296893,1.6,-1.4104769938022046e-14,2.4365367922961862,0.7999999999999998,-9.577371230806747e-14,-0.003196257595314961
0.064,task_space_pd_gc,3.901217685214802e-15,22.747212681204104,1.2682859833979802e-11,-1.7291292057360156e-15,-8.645646028680078e-13,2.9781894651218895e-11,-0.6999999999999998,3.5751221123692014e-14,-6.188191757477908,-3.2508985987181684e-15,-1.6254492993590842e-12,-0.5866908425946171,-2.2,-1.4605086275665233e-14,21.736176148061368,-1.2793037226818222e-15,-6.396518613409111e-13,0.6322073204289148,1.6,-1.0940953349189665e-14,2.43653679229607,0.7999999999999999,-7.54474802093734e-14,-0.0031962575910053866
0.066,task_space_pd_gc,3.0736556754837267e-15,22.747212681204058,1.0004156058413428e-11,-1.3615188914813706e-15,-6.807594457406853e-13,2.346032178455551e-11,-0.6999999999999998,2.893937395131251e-14,-6.188191757477747,-2.5604736537448025e-15,-1.2802368268724013e-12,-0.5866908426015557,-2.2,-1.1629788479096199e-14,21.736176148061208,-1.006453319713959e-15,-5.032266598569795e-13,0.6322073204283069,1.6,-8.084976927434966e-15,2.4365367922959704,0.7999999999999999,-5.958029958820169e-14,-0.0031962575876073995
0.068,task_space_pd_gc,2.4192619240235873e-15,22.74721268120401,7.891989272952995e-12,-1.0718340110147755e-15,-5.359170055073877e-13,1.8474271202471188e-11,-0.7,2.2779423289612104e-14,-6.188191757477614,-2.016177533169154e-15,-1.008088766584577e-12,-0.5866908426070297,-2.2,-1.0417204329433173e-14,21.736176148061073,-7.916453201795322e-16,-3.958226600897661e-13,0.6322073204278295,1.6,-5.531536619331195e-15,2.4365367922958883,0.7999999999999999,-4.705700545638105e-14,-0.0031962575849265847
0.07,task_space_pd_gc,1.905528027658957e-15,22.74721268120398,6.2205190756070105e-12,-8.436177300941123e-16,-4.218088650470561e-13,1.4544387574365915e-11,-0.7,1.8172708185272277e-14,-6.188191757477508,-1.5872008083740256e-15,-7.936004041870128e-13,-0.5866908426113449,-2.2,-8.295167281136973e-15,21.736176148060974,-6.227470047438635e-16,-3.1137350237193174e-13,0.6322073204274544,1.6,-5.6394277181634386e-15,2.4365367922958234,0.7999999999999999,-3.714155644676977e-14,-0.00319625758281357
0.07200000000000001,task_space_pd_gc,1.5012061393842646e-15,22.74721268120396,4.901547038791477e-12,-6.638808103942541e-16,-3.3194040519712704e-13,1.1448126232065993e-11,-0.7,1.4528666396258132e-14,-6.188191757477428,-1.2492615806416496e-15,-6.246307903208248e-13,-0.5866908426147457,-2.2,-6.831701520284931e-15,21.736176148060895,-4.897976051431092e-16,-2.448988025715546e-13,0.6322073204271603,1.6,-4.933745314480175e-15,2.4365367922957786,0.7999999999999999,-2.8680834212922784e-14,-0.0031962575811487442
0.074,task_space_pd_gc,1.1780363806995953e-15,22.747212681203937,3.854919708111199e-12,-5.223644002500029e-16,-2.6118220012500147e-13,9.013130545336898e-12,-0.7,1.1942721804429042e-14,-6.188191757477363,-9.830970532494461e-16,-4.915485266247231e-13,-0.5866908426174212,-2.2,-4.919614433620467e-15,21.73617614806083,-3.8526008292517483e-16,-1.9263004146258742e-13,0.632207320426929,1.6,-3.80925675714034e-15,2.4365367922957413,0.8,-2.290108022108101e-14,-0.0031962575798412493
0.076,task_space_pd_gc,9.268642863326466e-16,22.74721268120391,3.044696124193812e-12,-4.1097822475990096e-16,-2.0548911237995047e-13,7.090370177732626e-12,-0.7,9.407729747225076e-15,-6.188191757477304,-7.73555758502172e-16,-3.86777879251086e-13,-0.5866908426195332,-2.2,-4.080896167383712e-15,21.73617614806077,-3.0296170144138e-16,-1.5148085072069e-13,0.6322073204267474,1.6,-2.117748233121702e-15,2.436536792295704,0.8,-1.8049363430381735e-14,-0.003196257578806267
0.078,task_space_pd_gc,7.291648395849213e-16,22.747212681203884,2.394104831068492e-12,-3.23300283372634e-16,-1.6165014168631698e-13,5.57856773722851e-12,-0.7,7.73381182409682e-15,-6.188191757477254,-6.085879798048166e-16,-3.042939899024083e-13,-0.5866908426211942,-2.2,-2.7533294456912877e-15,21.73617614806072,-2.3828336260673055e-16,-1.1914168130336526e-13,0.6322073204266047,1.6,-1.869694646578751e-15,2.436536792295671,0.8,-1.3996482507752582e-14,-0.0031962575779933447
0.08,task_space_pd_gc,5.735865622604835e-16,22.747212681203866,1.882474874434691e-12,-2.5431728762484143e-16,-1.2715864381242072e-13,4.3898977371696544e-12,-0.7,5.867401908237043e-15,-6.188191757477216,-4.7877764813508045e-16,-2.3938882406754024e-13,-0.5866908426225007,-2.2,-2.5949182583893076e-15,21.736176148060682,-1.8733986566447704e-16,-9.366993283223852e-14,0.6322073204264925,1.6,-1.169731709852299e-15,2.4365367922956493,0.8,-1.1338960684377872e-14,-0.003196257577354774
0.082,task_space_pd_gc,4.511711342931711e-16,22.747212681203855,1.486078757294964e-12,-2.0003476274503481e-16,-1.0001738137251741e-13,3.4513870020765773e-12,-0.7,4.585486269465974e-15,-6.1881917574771865,-3.7661371618624997e-16,-1.8830685809312497e-13,-0.5866908426235314,-2.2,-2.181067851278966e-15,21.736176148060657,-1.4732139998420815e-16,-7.366069999210407e-14,0.6322073204264043,1.6,-3.192948296622161e-16,2.4365367922956325,0.8,-8.736866618758806e-15,-0.003196257576849137
0.084,task_space_pd_gc,3.548583873422991e-16,22.74721268120384,1.164822691753919e-12,-1.5732515874728044e-16,-7.866257937364022e-14,2.715900632774641e-12,-0.7,3.552344712244129e-15,-6.188191757477162,-2.9622134026471743e-16,-1.4811067013235872e-13,-0.5866908426243399,-2.2,-1.5453838486572944e-15,21.736176148060633,-1.1587142470900545e-16,-5.793571235450272e-14,0.6322073204263348,1.6,-1.0247719387599023e-15,2.436536792295616,0.8,-6.57838531006534e-15,-0.0031962575764542703
